Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,PICTURE,
2007,4,4,MEM,Mike Conley,Ohio State University,9,606,19711,8137,1718,3388,0.44,0.373,0.806,32.5,13.4,2.8,5.6,49.3,0.12,1.4,16.9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/conlemi01.png,
2007,5,5,BOS,Jeff Green,Georgetown University,8,581,18799,8216,2871,956,0.439,0.341,0.794,32.4,14.1,4.9,1.6,29.4,0.075,-1,4.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/greenje02.png,
2007,6,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.7,-4.1,http://d2cwpp38twqe55.cloudfront.net/images-011/players/jianlyi01.png,
2007,7,7,MIN,Corey Brewer,University of Florida,9,571,14612,5787,1746,975,0.425,0.289,0.71,25.6,10.1,3.1,1.7,17,0.056,-0.8,4.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/breweco01.png,
2007,8,8,CHA,Brandan Wright,University of North Carolina,8,367,6029,2611,1368,169,0.606,0,0.679,16.4,7.1,3.7,0.5,23,0.183,1.7,5.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/wrighbr03.png,
2007,9,9,CHI,Joakim Noah,University of Florida,9,563,16649,5275,5303,1663,0.492,0,0.712,29.6,9.4,9.4,3,57.2,0.165,4.3,26.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/noahjo01.png,
2007,10,10,SAC,Spencer Hawes,University of Washington,9,595,14081,5391,3542,1123,0.458,0.352,0.703,23.7,9.1,6,1.9,19.8,0.068,-0.8,4.4,http://d2cwpp38twqe55.cloudfront.net/images-011/players/hawessp01.png,
2007,11,11,ATL,Acie Law,Texas A&M University,4,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-5.4,-2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/lawac01.png,
2007,12,12,PHI,Thaddeus Young,Georgia Institute of Technology,9,615,18690,8523,3461,910,0.497,0.32,0.69,30.4,13.9,5.6,1.5,40.3,0.103,0.3,10.9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/youngth01.png,
2007,13,13,NOK,Julian Wright,University of Kansas,4,231,3049,907,531,182,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-1.3,0.5,,
